"Title","Type","Description"
"Paskudy. Uglydolls","Fantasy","Zadziorna Moxy pragnie poznać świat i zrozumieć, dlaczego Paskudom nie dane jest trafiać do rąk dzieciaków."
"Jak zostać kotem","Fantasy","Biznesmen Tom ulega wypadkowi. Kiedy odzyskuje przytomność doznaje szoku - budzi się bowiem w ciele domowego kota."
"Conan Barbarzyńca","Fantasy","Nowe wcielenie bohatera znanego z książek Roberta E. Howarda. Conan z Cymerii (Jason Momoa) wyrusza na wyprawę poprzez Hyborię aby pomścić śmierć swojego ojca i wymordowanie mieszkańców jego rodzinnej wioski."
"Yesterday","Fantasy","Młody mężczyzna budzi się w alternatywnej rzeczywistości, gdzie jako jedyny na świecie potrafi grać utwory zespołu The Beatles."
"Co się wydarzyło 11 września","Dokument","Twórcy obrazu przywołują tragiczne wydarzenia z 11 września 2001 roku, aby przybliżyć młodemu pokoleniu historię najbardziej dramatycznego ataku terrorystycznego w dziejach Ameryki. Dokument, wyreżyserowany i wyprodukowany przez siedmiokrotną zdobywczynie nagrody Emmy Amy Schatz (Parkland), zawiera osobiste opowieści ocalałych i członków ich rodzin, wywiady z nauczycielami, archiwalne materiały – w tym przejmujące zdjęcia."
"Plan gry","Dokument","Dokument HBO będący kroniką szeroko zakrojonego i bezprecedensowego, trwającego dwa lata śledztwa FBI dotyczącego korupcji w koszykarskim światku szkół wyższych w USA. W dniu 26 września 2017 roku dyrektorzy firmy Adidas i asystenci trenerów z mających czołowe programy koszykówki amerykańskich uczelni zostali aresztowani. Nie postawiono zarzutów trenerom, ale za to rząd federalny twierdził, że pewien niepozorny i nieznany nikomu 25-letni mężczyzna był częścią przestępczego przedsięwzięcia, które korumpowało uniwersytecką koszykówkę, przekazując setki tysięcy dolarów na pozyskiwanie nowych zawodników. Był nim Christian Dawkins, który teraz po raz pierwszy staje przed kamerą i wyjaśnia w fascynujący sposób, jak chłopak z małego miasteczka Saginaw w stanie Michigan skończył w apartamencie hotelowym otoczony przez agentów FBI, mających nakaz jego aresztowania."
"Odwal się od kotów: Polowanie na internetowego mordercę","Dokument","W sieci pojawia się film, na którym tajemniczy mężczyzna zabija dwa kotki. Internauci z całego świata wkraczają do akcji, aby odnaleźć sprawcę. Rozochocony popularnością zbrodniarz publikuje coraz brutalniejsze filmy, ostatecznie popełniając morderstwo."
"In Touch","Dokument","Ze wsi Stare Juchy na Mazurach od początku lat 80. wyemigrowało do Islandii, za pracą, 400 osób, czyli połowa całej społeczności. Ci, którzy zostali to w większości reprezentanci starszego pokolenia. Dla nich technologia staje się codziennością – namiastką kontaktu z najbliższymi. Paweł Ziemilski właśnie w technologii znajduje klucz do ciekawej formy filmowej i, za pomocą obrazów rzutowanych z internetowego komunikatora na ściany domów, pokojów, obór i garaży, daje swoim bohaterom szansę na bliższy kontakt z rodziną. Wirtualne postaci bliskich na emigracji nagle zyskują realne rozmiary. Podzielone rodziny bywają u siebie w kuchni, nawzajem malują sobie paznokcie, razem jadają kolacje, grają w piłkę, tańczą, spacerują, a nawet przytulają się – choć żyją tysiące kilometrów od siebie."
"Tańcząc z ptakami","Dokument","Film Tańcząc z ptakami, dzieło twórców widowiskowego serialu Nasza planeta, przenosi nas w głąb lasów tropikalnych, gdzie możemy podziwiać spektakularne i jedyne w swoim rodzaju rytuały godowe rajskich ptaków. Ten ujmujący i pogodny dokument wprawia w zachwyt nad niespotykanym pięknem natury. Narratorem jest nagrodzony Emmy aktor Stephen Fry."
"Wszystkie kolory trawy","Dokument","Zioło. Maryśka. Trawka. Gandzia. Niezależnie od tego, jak ją nazwiemy, jedno jest pewne — marihuana odcisnęła bardzo silne piętno na amerykańskim społeczeństwie. Jaki jest jej obecny status za oceanem? Można określić go krótko: to skomplikowane. W swoim debiucie reżyserskim prekursor hip-hopu Fab 5 Freddy („Yo! MTV Raps”) bierze pod lupę historię walki z marihuaną, w której obecny jest wątek uprzedzeń rasowych. Film zawiera wywiady z celebrytami i ekspertami, w tym ze Snoop Doggiem, B-Realem z Cypress Hill i Damianem Marleyem, którzy opowiadają o wpływie konopi na muzykę i popkulturę. Wspólnie podkreślają oni, że przestępcza działalność związana z handlem marihuaną ma niesłychanie niszczący wpływ na społeczności Afroamerykanów i Latynosów. Ponadto twórcy dokumentu przyglądają się podziałom rasowym obecnym na rozwijającym się rynku handlu marihuaną, w czasach kiedy coraz więcej stanów ją legalizuje."
"Rodzina Addamsów","Fantasy","Rodzina Addamsów, po przeprowadzce do New Jersey, musi stawić czoło wyzwaniom XXI wieku. A także wścibskiej, sprytnej i chciwej prezenterce telewizyjnej Margaux Needler. W dodatku Addamsowie szykują się do wielkiej rodzinnej uroczystości…"
"Strażniczki Kadabry","Fantasy","Grupa dobrych czarownic razem stanowi najsilniejszą moc w świecie. Władają czterema żywiołami: wiatrem, ziemią, ogniem i wodą. Kirki w dniu swoich szesnastych urodzin odkrywa, że należy do ich dynastii i może w przyszłości zostać ich liderką. Okazuje się jednak, że jej od dawna zaginiona siostra bliźniaczka - Laila - od urodzenia miała obiecaną pozycję przywódczyni. Nastolatki niespodziewanie muszą dokonać wyboru między własnym szczęściem a przeznaczeniem, i jednocześnie chronić świat przed siłami zła."
"Velvet Buzzsaw","Fantasy","Poznaj rzeczywistość, w której świat sztuki ściera się ze światem biznesu, a najlepiej zarabiający artyści i oszałamiająco bogaci kolekcjonerzy prowadzą grę, w której stawka jest horrendalnie wysoka."
"Lost: Zagubieni","Fantasy","Bohaterowie tego filmu akcji to Robinsonowie XXI wieku, pasażerowie samolotu, który uległ katastrofie nad Pacyfikiem. 48 ocalonych osób ratuje się, zamieszkując na bezludnej wyspie. Od nowa muszą zorganizować sobie życie, co staje się niewyobrażalnie trudne, tym bardziej, że stanowią zamkniętą grupę ludzi, którzy niekoniecznie chcieliby z sobą przebywać. W tej mieszance osobowości są m.in. naukowiec Jack (Matthew Fox), więźniarka Kate (Evangeline Lilly), gwiazda muzyki rockowej Charlie (Dominic Monaghan), iracki żołnierz i tajemniczy mężczyzna Locke (Terry O'Quinn). Jakby problemów było mało, okazuje się, że na wyspie nie są jednak sami."
"Praziomek","Fantasy","Charyzmatyczny sir Lionel Frost to najwybitniejszy na świecie tropiciel mitów i potworów. W każdym razie za takiego sam się uważa. Problem w tym, że cieszy się raczej opinią postrzelonego dziwaka niż szacownego naukowca. Nic dziwnego zatem, że chętnie skorzysta z okazji, by udowodnić całemu światu jaki to z niego Indiana Jones. Na listowne zaproszenie pewnego tajemniczego obywatela wyrusza w dzikie ostępy Ameryki Północnej, by odnaleźć i ujawnić najbardziej tajemniczą z mitycznych istot – brakujące ogniwo, czyli najbliższego przodka człowieka zwanego także Wielką Stopą. Łowca przygód po przybyciu na miejsce dokona dwóch niezwykłych odkryć! Po pierwsze: zaproszenie było podstępem. Po drugie: jego autor to … niestety tego nie możemy zdradzić. Razem z nim Sir Lionel wyrusza w dalszą pełną przygód podroż, by dokonać odkrycia znacznie większego niż kiedykolwiek mógł pomarzyć!"
"O Yeti!","Fantasy","Kiedy nastolatka Yi spotyka młodego Yeti na dachu apartamentowca, w którym mieszka, ona i jej psotni przyjaciele – Jin i Peng – nadają mu imię „Everest” i organizują niezwykłą wyprawę, aby magiczne stworzenie wróciło do swej rodziny, mieszkającej w najwyższym punkcie Ziemi. Każdy krok tej wyprawy śledzi jednak Burnish, sprytny milioner, który marzy o schwytaniu Yeti, oraz dr Zara, która pragnie, by Everest wrócił do domu."
"Wendy","Fantasy","Opowieść o przygodzie i walce z dorastaniem. Wendy, która zagubiła się na tajemniczej wyspie, na której czas płynie zupełnie inaczej, musi walczyć o ocalenie swojej rodziny, wolności i radosnego ducha młodości przed niebezpieczeństwem dorastania."
"Dobry Omen","Fantasy","Opowieść o spartaczonym Armagedonie, w której pojawiają się anioł, demon, jedenastoletni Antychryst i wieszcząca zagładę czarownica."
"Shazam!","Fantasy","Każdy ma w sobie superbohatera. Potrzeba jedynie odrobinę magii, aby go wydobyć. W przypadku Billy’ego Batsona (Angel) wystarczy wypowiedzieć jedno słowo — SHAZAM. Wówczas ten cwany 14-letni sierota zmienia się w dorosłego superbohatera Shazama (Levi), a wszystko za sprawą starożytnego czarodzieja. Shazam, który w głębi duszy nadal jest dzieckiem — choć zamkniętym w umięśnionym ciele herosa — wykorzystuje swoją dorosłą powłokę tak, jak zrobiłby to każdy nastolatek z supermocami — do zabawy! Czy umie latać? Czy może prześwietlać wzrokiem? Czy potrafi ciskać piorunami? Czy może się nie pojawić na sprawdzianie z WOS-u? Shazam poznaje swoje możliwości i ograniczenia z radosnym nieskrępowaniem dziecka. Jednak będzie zmuszony szybko okiełznać supermoce, aby stawić czoła zabójczym siłom zła kontrolowanym przez dr Thaddeusa Sivanę (Strong)."
"Pokonani przez życie","Dokument","Setki straumatyzowanych dzieci uchodźców, którzy trafili do Szwecji, uciekają od życiowych trudności w przypominający śpiączkę stan zwany syndromem rezygnacji."
"Adwokatka","Dokument","Lea Tsemel nie jest zwykłą prawniczką. Od wczesnej młodości była związana z ruchem obywatelskim w Izraelu, widziała na własne oczy początek i rozwinięcie trwającego konfliktu z Palestyną. Występując w obronie Palestyńczyków oskarżonych o terroryzm, bywa nazywana „adwokatką diabła”. A może po prostu jest kimś, kto widzi więcej i szerzej?"
"The Confession Killer","Dokument","Henry Lee Lucas zyskał sławę, gdy przyznał się do setek niewyjaśnionych zbrodni. Ten serial dokumentalny analizuje, ile prawdy było w jego słowach."
"Miss Americana","Dokument","Dokument ten opowiada nie tylko o wieloletniej muzycznej karierze popowej wokalistki Taylor Swift, lecz także o jej życiu."
"Wiatr. Thriller dokumentalny","Dokument","Obraz w poruszający sposób dokumentuje wpływ halnego na życie mieszkańców Tatr. Wraz z nasilaniem się wiatru, budzą się lęki oraz potęgują się niecodzienne zachowania, policja odnotowuje więcej interwencji, podnosi się współczynnik samobójstw, a w szpitalnych salach pojawia się więcej pacjentów z dolegliwościami kardiologicznymi. W wielowątkowo prowadzonej obserwacji dokumentalnej poznajemy ludzi skazanych na działanie wiatru: Teresę, ciężko pracującą w lesie poetkę, która łączy w sobie hart ducha z wyjątkową wrażliwością; Staszka, energicznego bacę, głowę rodziny, który wiedzie życie blisko natury; Ewę, której pracą i pasją jest ratownictwo medyczne, oraz Tomka, meteorologa pracującego w oddalonej od ludzi stacji pomiarowej na Hali Gąsienicowej. Z intensywnych ludzkich zachowań reżyser przenosi uwagę na zmieniającą się naturę: wystraszone zwierzęta, stargane wiatrem drzewa, skłębione chmury majestatycznie przesuwające się nad Tatrami i formujące wały zwiastujące nadejście halnego."
"Mały Książę","Fantasy","Mała Dziewczynka zaprzyjaźnia się z ekscentrycznym staruszkiem z sąsiedztwa, który przedstawia się jako Lotnik. Nowy znajomy opowiada jej o niezwykłym świecie, gdzie wszystko jest możliwe. Świecie, do którego dawno temu zaprosił go przyjaciel – Mały Książę. Tak zaczyna się magiczna i pełna przygód podróż Dziewczynki do krainy jej własnej wyobraźni i do bajkowego uniwersum Małego Księcia."
"Dumbo","Fantasy","Dzieci byłego artysty cyrkowego, odpowiedzialnego za opiekę nad słoniątkiem, którego nadmierne uszy są pośmiewiskiem publiczności, odkrywają, że ten umie latać."
"Thor: Ragnarok","Fantasy","Thor zostaje uwięziony po drugiej stronie wszechświata. Osłabiony i pozbawiony młota musi znaleźć sposób, by powrócić do Asgardu i stawić czoła bezwzględnej i wszechpotężnej Heli oraz powstrzymać Ragnarok – zmierzch bogów, zagładę świata i całej asgardzkiej cywilizacji. Przedtem jednak musi stanąć do gladiatorskiego pojedynku na śmierć i życie z byłym sprzymierzeńcem i członkiem drużyny Avengers — niesamowitym Hulkiem!"
"Koty","Fantasy","Filmowa wersja kultowego musicalu Andrew Lloyda Webbera."
"Underworld 2: Ewolucja","Fantasy","Bezpośrednio po wydarzeniach z pierwszej części Selene i Michael uciekają przez żądnymi zemsty wampirami. W tym samym czasie budzi się Marcus, protoplasta wampirzego gatunku, który po latach postanawia odszukać i oswobodzić swojego brata. Na jego drodze staje jednak dwójka odmieńców, pragnąca raz na zawsze zakończyć odwieczną wojnę."
"Ekspres polarny","Fantasy","Fabuła obrazu, na podstawie książki Chrisa Van Allsburga, będzie się koncentrować wokół chłopca, który nie chce przestać wierzyć w Świętego Mikołaja nawet wtedy, gdy wszyscy jego koledzy starają mu się udowodnić, że on nie istnieje. W wigilię Bożego Narodzenia, nagle pojawia się pociąg parowy i zabiera chłopca i jego niewierzących kolegów na biegun północny."
"Królewska Akademia Bajek","Fantasy","Rose nieoczekiwanie trafia do Królewskiej Akademii Bajek, gdzie grupa wiekowych baśniowych postaci dzieli się z młodszym pokoleniem swoją wiedzą i poczuciem humoru."
"Zombi Child","Fantasy","Haiti, 1962 rok. Mężczyzna zostaje przywrócony z martwych, aby zostać zmuszonym do pracy na plantacji trzciny cukrowej. 55 lat później, w prestiżowej szkole z internatem w Paryżu, haitańska nastolatka powierza swoim nowym przyjaciołom tajemnicę, która nawiedza jej rodzinę. Daleko jej do podejrzeń, że te tajemnice skłonią jednego z nich, ofiarę złamanego serca, do popełnienia czegoś nieodwołalnego."
"Procesy w sprawie Gabriela Fernandeza","Dokument","Po brutalnym morderstwie chłopca rozpoczyna się proces jego opiekunów i pracowników społecznych. Rodzą się pytania o systemową ochronę dzieci narażonych na przemoc."
"Ustrzelić mafię","Dokument","Ta kobieta żadnego mafioza się nie boi. Jej bronią jest wrażliwość, czujne oko oraz aparat fotograficzny. Letizia Battaglia od lat 70. poprzedniego stulecia dokumentuje historię Cosy Nostry, skupiając się przede wszystkim na efektach ich działań. Mocne, nierzadko szokujące zdjęcia Włoszki układają się w opowieść o mrocznej stronie jej kraju, stanowią też istotny rozdział w historii fotografii."
"Druga strona medalu: Skandal w amerykańskiej gimnastyce","Dokument","Oparty na wieloletnim researchu obraz pokazuje świat, w którym młode kobiety intensywnie trenują z nadzieją, że uda im się odnieść zwycięstwo i zyskać międzynarodową sławę. Jednocześnie muszą mierzyć się z nadużyciami ze strony swoich opiekunów, którzy mogą zmienić ich życie w piekło. Dokument pokazuje szokujące historie gimnastyczek, które postanowiły odważnie powiedzieć światu o patologiach systemu związanych z wykorzystywaniem seksualnym młodych sportsmenek. Twórcy filmu starają się dowiedzieć, w jaki sposób osoby, takie jak lekarz gimnastyczek z kadry olimpijskiej, Larry Nassar, mogły być bezkarne przez tak wiele lat."
"Square One","Dokument","""Square One"" to dokument, który stara się dociec do prawdy, biorąc pod lupę oryginalne zarzuty rodziny Chandler z 1993 roku w sprawie Michaela Jacksona. Na jaw wychodzą różne kłamstwa i manipulacje."
"Ziemia nocą","Dokument","Dzięki zastosowaniu nowej technologii twórcy tego serialu przyrodniczego unoszą zasłonę nocy, odsłaniając ukryte życie natury — od polujących lwów po latające nietoperze."
"Farmaceuta","Dokument","W 1999 r. syn Dana Schneidera, farmaceuty z małego miasteczka, traci życie w wyniku narkotykowej strzelaniny w Nowym Orleanie. Rozczarowany bezradnością policji ojciec pomimo ryzyka odnajduje zabójcę i doprowadza do jego skazania. Jednak tragiczna śmierć uzależnionego syna wciąż nie daje Danowi spokoju, zwłaszcza gdy w jego aptece pojawia się coraz więcej młodych, zdrowych klientów realizujących recepty na silny lek przeciwbólowy oksykodon. Uświadomiwszy sobie powagę sytuacji (choć kryzys opioidowy nie był wtedy jeszcze obecny w mediach), Dan wyrusza na misję: zamierza uratować jak najwięcej młodych ludzi w swojej społeczności, a następnie rzucić wyzwanie wielkim koncernom farmaceutycznym."
"Fateicz i morze","Dokument","Film opowiada o hodowcy owoców morza z Zatoki Piotra Wielkiego na Morzu Japońskim koło Władywostoku. Tytułowy bohater, Fateicz, jest jak stary człowiek z opowiadania Hemingwaya. Zmaga się z wymagającą przyrodą, ale przede wszystkim z bezmyślnymi kłusownikami i takimiż urzędnikami. Pozostaje przy tym poetą, który w codziennym znoju wraz z całą rodziną przygotowuje wykwintną żywność (przegrzebki, trepangi, ostrygi i ogórki morskie)."
"Split","Fantasy","Serial ""Split"" opowiada historię nastolatki, która wraz z przyjacielem rozpoczyna naukę w liceum. Dyrektorem szkoły jest surowy i zimny członek organizacji walczącej od 1000 lat z wampirami. Życie dziewczyny zacznie się komplikować gdy odkryje tajemnice o swoim życiu i zakocha się w nowym, tajemniczym uczniu."
"Smoczy Książę","Fantasy","Dwaj będący ludźmi książęta zaprzyjaźniają się z elfim zabójcą, który miał ich zamordować. Potem razem rozpoczynają misję mającą zakończyć konflikt między ich krainami."
"Yasamayanlar","Fantasy","Pałająca żądzą zemsty wampirzyca pragnie zniszczyć okrutnego przywódcę wampirów, który poszukuje artefaktu dającego nieśmiertelność."
"Gdybym cię nie spotkał","Fantasy","Eduard to mąż i ojciec, który traci w wypadku swoją rodzinę. Udaje mu się jednak dostać do równoległego świata, gdzie stara się lepiej zadbać o ukochaną żonę."
"Marsz dinozaurów","Dokument","Wykorzystujący najnowsze techniki animacyjne dokument, ukazujący życie prehistorycznych gadów."
"Teraz i w godzinę śmierci","Dokument","Czy prawdą jest, że równo sto lat temu w Fatimie Maryja, zachęcając do odmawiania różańca, podarowała światu najlepszą broń w walce ze złem? Na zdjęciu młody amerykański żołnierz. Chwilę wcześniej został ciężko ranny. Cierpi, ale jest spokojny. W zaciśniętej pięści, brudnej od krwi i ziemi wznosi różaniec… Autorka tego ujęcia zginie w Afganistanie trzy lata później…"
"Czekając na Joe","Dokument","Dwóch młodych alpinistów – Joe Simpson i Simon Yates – próbuje zdobyć szczyt Siulaa Grande w peruwiańskich Andach. Udaje im się tego dokonać z sukcesem. Tyle że w drodze powrotnej Joe łamie nogę. Simon, przywiązując przyjaciela do swojej liny, próbuje ratować mu życie. Niestety, w pewnym momencie ten sposób schodzenia okazuje się już niemożliwy. Simon musi przerwać linę i zostawić kolegę w górach. Czekając na Joe to film oparty na prawdziwej historii, spisanej przez Joe Simpsona pt.: „Dotknięcie pustki”."
"Głęboko w gardle","Dokument","Dokument bada, w jaki sposób słynny film pornograficzny ""Głębokie gardło"" stał się tak wielką sensacją i masowym fenomenem, jaki wpływ wywarł na kulturę, i co sprawiło, że to dzięki niemu pornografia stała się potężnym, przynoszącym krociowe zyski przemysłem."
"Super Size Me","Dokument","Opowieść o chłopaku, który przez miesiąc żywił się wyłącznie w McDonaldsie. Przez cały ten czas był pod czujną opieką lekarzy, którzy prowadzili szczegółowe badania dotyczące wpływu tej ""diety"" na jego organizm."
"Hype! - Zadyma","Dokument","Film dokumentalny opowiadający o muzyce wywodzącej się z Seattle, czyli grunge. W filmie pojawiają się liderzy grungowych kapel, dziennikarze, wydawcy płyt."
"Burzliwe życie Ike'a White'a","Dokument","Był człowiekiem wielu talentów, a tego, co przeżył, starczyłoby na kilka biografii. Swoją płytę ""Changin' Times” nagrał w kalifornijskim więzieniu, gdzie odsiadywał dożywocie. Ike White, zapomniany mistrz funku i soulu, mógł być drugim Jimmym Hendriksem, lecz po wyjściu na wolność zrezygnował z grania. Film podąża śladem muzyka, odkrywając jego rozliczne twarze."
"Nie jestem twoim murzynem","Dokument","Raoul Peck wykorzystując niepublikowane dotąd fragmenty niedokończonej książki Jamesa Baldwina, słynnego afroamerykańskiego powieściopisarza i eseisty, bogaty materiał archiwalnych filmów i zdjęć, opowiada historię segregacji rasowej, prześladowań i walki o prawa Afroamerykanów w USA."
"Twarze, plaże","Dokument","Tworząca się przyjaźń między reżyserką Agnes Vardą a fotografem JR w podróży przez wiejskie obszary Francji."
"Nietykalny","Dokument","Tytan. Wizjoner. Twórca snów. To Harvey Weinstein – samozwańczy cesarz Hollywood, który wierzył, że wybudował sobie pomnik trwalszy niż ze spiżu. Pomnik, ktoóry upadł pod ciężarem zarzutów: prześladowania, szantażu, napaści seksualnej i gwałtu. „Nietykalny” to współczesna szekspirowska historia, która ukazuje potężnego człowieka jako socjopatycznego drapieżnika, opętanego przez własną chciwość, żądzę chwały i władzy. To także historia hollywoodzkiego skandalu wszechczasów i ruchu #metoo, który miał odwagę, aby go ujawnić."
"Fangbone!","Fantasy","Magicznie przeniesiony z dalekiej krainy młody barbarzyńca nawiązuje współpracę z dziwnym trzecioklasistą, by chronić swój dom przed złym czarnoksiężnikiem."
"LEGO Elves: Tajemnice Elvendale","Fantasy","Nastolatka dysponująca potężnym amuletem musi ochronić swoją młodszą siostrę i całą krainę Elvendale. W oparciu o popularny serial internetowy."
"Suspiria","Fantasy","Amerykańska tancerka Susie Bannon (Dakota Johnson), udaje do Berlina, aby rozpocząć naukę w tamtejszej, prestiżowej szkole baletu. Jej przyjazd zbiega się w czasie z tajemniczym zniknięciem Patricii (Chloë Grace Moretz) jednej z wychowanek akademii. Susan, czyniąca niesamowite postępy pod okiem ekscentrycznej dyrektor artystycznej szkoły – Madame Blanc (Swinton), szybko zaprzyjaźnia się z inną tancerką Sarą (Mia Goth). Kiedy w szkole dochodzi do kilku mrożących krew w żyłach incydentów, obie dziewczyny zaczynają nabierać podejrzeń, co do prawdziwej natury akademii. Wkrótce Susie pozna jej największy, mroczny sekret."
"Vaiana: Skarb oceanu","Fantasy","Trzy tysiące lat temu najwięksi żeglarze przemierzali Ocean Spokojny, odkrywając w regionie Oceanii liczne wyspy. Jednak na kolejne tysiąc lat zaprzestano wypraw i do dziś nikt nie wie dlaczego… Najnowsza animacja Walt Disney Animation Studios „Vaiana: Skarb oceanu” to opowieść o przygodach pewnej nastolatki, która z pomocą półboga Maui żegluje po morzach, by znaleźć drogę na legendarną wyspę i uratować swój lud."
"Grimm","Fantasy","Mroczny serial policyjny, którego akcja dzieje się w świecie, w którym żyją postacie znane z baśni braci Grimm. Młody śledczy okazuje się potomkiem rodziny Grimm, którzy są znani ze swych baśni, ale ma kto wie że te opowieści wcale nie były wytworem czyjejś wyobraźni."
"Dziadek do orzechów i cztery królestwa","Fantasy","Młoda dziewczyna w Noc Wigilijną przenosi się do baśniowego świata, w którym musi zaprowadzić ład."
"Anioł ciemności","Fantasy","Angel, wampir z duszą przybywa do Los Angeles, żeby pomagać ludziom mającym problemy i w ten sposób zyskać odkupienie."
"Kopciuszek. Historia prawdziwa","Fantasy","Po przybyciu na królewski bal, Kopciuszek i jej przyjaciele odkrywają sekret, który może wstrząsnąć światem baśni. Okazuje się, że prawdziwy książę został zamieniony w mysz, a jego miejsce na dworze zajął oszust, kontrolowany przez podstępną wiedźmę. Aby uratować księcia i pokonać siły zła, Kopciuszek uda się w niezwykłą zaczarowaną podróż. Wspierana przez wiernych towarzyszy, trzy myszki i rezolutną czarodziejkę, dzielna bohaterka zrobi wszystko, by przywrócić ład w królestwie."
"Jutro albo pojutrze","Dokument","„Jutro albo pojutrze” powstawał spontanicznie jako czysta rejestracja codzienności zaprzyjaźnionych ze sobą deskorolkarzy, ale efektem jest poruszający zapis procesu ich dorastania. Zack zostaje nieoczekiwanie ojcem, a Keire dostaje pierwszą pracę oraz zmaga się z problemem rasowej tożsamości i śmiercią ojca. Bing prowadzi długie rozmowy z matką, która jako chińska emigrantka po traumatycznym małżeństwie nie może się odnaleźć w amerykańskim społeczeństwie."
"The Crash Reel: Jazda życia","Dokument","Film spogląda na sport ekstremalny nie z perspektywy trików, medali i olimpijskiego złota, ale przez soczewkę urazów kręgosłupa, śpiączki i wielokrotnych otwartych złamań. Przysłuchuje się rodzinnym debatom na temat powrotu do sportu tych, którzy balansują na krawędzi życia i śmierci. Pokazuje jak niewiele potrzeba, by z treningu przed kolejnymi zawodami wrócić na pokładzie helikoptera. Snowboard w wydaniu hardcore'owego half pipe'u jest narkotykiem, z biegiem lat oferującym coraz silniejsze doznania zarówno przed i za kulisami."
"Metallica: Some Kind of Monster","Dokument","Some Kind of Monster ujawni kulisy pracy Metalliki w studiu, a także obnaży psychikę członków zespołu w trakcie nagrywania wyróżnionego nagrodą Grammy albumu St. Anger. Ich pracy towarzyszyły wewnętrzne konflikty, brak porozumienia, problemy z uzależnieniem, odejście jednego z członków zespołu, ojcostwo innego, wreszcie narastający chaos, grożący rozpadem grupy w najbardziej burzliwej chwili w jej dwudziestoletniej historii."
"Wielka cisza","Dokument","Wielka cisza to surowy film, który w swej czystej formie bliski jest spokojnemu, medytacyjnemu życiu w klasztornych murach. Bez muzyki, jedynie z klasztornymi śpiewami, bez wywiadów, bez komentarzy, bez dodatkowych materiałów. Zmiany czasu, pór roku i wszystkie powtarzalne elementy dnia i modlitwy - ten film nie jest odwzorowaniem życia klasztornego, ale istotą tegoż życia. To film o świadomości, absolutnej obecności, o życiu ludzi, którzy w najczystszej formie poświęcili całe swoje życie Bogu."
"Świadkowie Putina","Dokument","31 grudnia 1999 roku Władimir Putin wstąpił na fotel prezydenta Rosji. Reżyser filmu Witalij Manski („Pod opieką wiecznego słońca”, zwycięzca 13. Millennium Docs Against Gravity) był szefem departamentu dokumentalnego rosyjskiej telewizji publicznej, kiedy kraj przechodził z epoki Jelcyna do autorytarnego reżimu Putina. Był świadkiem tego, jak Putin podjął pierwsze kroki, aby zlikwidować demokratyczne reformy Jelcyna. Na podstawie unikatowych materiałów z lat 1999-2000, relacji świadków oraz własnych doświadczeń stworzył niezwykle intymny portret Władimira Putina i przełomowego okresu w historii Rosji."
"Nasze miejsce na Ziemi","Dokument","Znakomity reżyser John Chester wraz z żoną Molly muszą opuścić swoje małe mieszkanko w Los Angeles. Wszystko za sprawą ukochanego psa Todda, którego szczekanie drażni sąsiadów. Chesterowie traktują swoje wygnanie jako pretekst do realizacji marzenia o własnej farmie funkcjonującej w zgodzie z prawami natury. 80 hektarów ziemi w upalnej Kalifornii staje się odtąd ich nowym domem. Z pomocą przyjaciół i zapaleńców z całego świata, Jack i Molly realizują wyjątkowy projekt: 10 tysięcy drzew, ponad 200 rodzajów upraw i dziesiątki gatunków zwierząt żyjących w zgodzie ze sobą i swoją naturą, a wszystko to bez udziału szkodliwej chemii i bezdusznej technologii. Z każdym kolejnym dniem Chesterowie uczą się czegoś nowego o świecie i sobie samych. Przeżywają małe porażki i wielkie zwycięstwa, a otaczający ich ludzie i zwierzęta stają się źródłem inspiracji, radości, a czasem niezłych kłopotów. Ich idealistyczna wizja niezwykłej utopii powoli zaczyna nabierać realnych kształtów mimo niekończących się przeciwności losu. A widoki takie jak przyjaźń między świnią Emmą i kogutem Greasym, psia troska o owcze stado czy gęsi pomagające ratować uprawy przed inwazją ślimaków uświadamiają jak wielka moc i piękno kryje się w otaczającej nas naturze, której przecież jesteśmy częścią."
"Happy Olo - Pogodna ballada o Olku Dobie","Dokument","Happy Olo - Pogodna ballada o Olku Dobie to nie tylko zapis przygotowań Aleksandra Doba do wyprawy. To magiczna podróż w głąb siebie, która przez swój pozytywny i nieco odrealniony charakter, adresowana jest do widza w każdym wieku."
"Autoportret","Dokument","Lene Marie Fossen nie chce być ""ikoną anoreksji”, choć fotografia jest dla niej formą autoterapii. Niezależnie od tego, czy fotografuje mieszkańców greckich wysp, uchodźców czy siebie samą w niecodziennych stylizacjach, jej prace – szokujące i piękne zarazem – stają się zapisem desperackiej walki z chorobą i śmiercią. Kamera towarzyszy młodej norweskiej artystce przede wszystkim w jej zmaganiach z samą sobą. Stojąc u progu wielkiej kariery, bohaterka nadal pozostaje małą dziewczynką, która boi się dorosnąć."
"Africa Mia","Dokument","Tytuł filmu nawiązuje do utworu wykonywanego przez Las Maravillas de Mali – pionierów muzyki afro-kubańskiej. W 1964 roku grupa młodych malijskich muzyków została wysłana na karaibską wyspę, aby zacieśniać więzy kulturalne pomiędzy dwoma komunistycznymi krajami. Wiele lat później pewien francuski producent przybywa do Bamako i zafascynowany tamtejszym brzmieniem próbuje odnaleźć afrykańskich członków zespołu. Nic już nie będzie takie samo, ale pojawia się szansa na nowy projekt. Ponowny wyjazd do Hawany ma upamiętnić muzyczną przygodę sprzed lat oraz prawdziwą przyjaźń, która przetrwała próbę czasu."
